№,Наименование лечебно-профилактического учреждения,Тип лечебно-профилактического учреждения,Адрес,Координаты,Район города,Руководитель,Телефон,Факс,Режим работы
1,"ГБУ ""Санкт-Петербургский НИИ скорой помощи имени И.И. Джанелидзе""",Клиники HИИ,"192242, Санкт-Петербург, ул. Будапештская, д. 3/5","59.8743,30.3641",Фрунзенский,Мануковский Вадим Анатольевич,709-61-57,774-86-75,
2,"ГБУЗ ""Санкт-Петербургский клинический научно-практический центр специализированных видов медицинской помощи (онкологический)""",Прочие больничные учреждения,"197758, Санкт-Петербург, п.Песочный, ул. Ленинградская, д.68а, лит.А","60.1203,30.1873",Курортный,Моисеенко Владимир Михайлович,573-91-91,573-91-91,
3,"СПб ГАУЗ ""Городская поликлиника №40""",Поликлиники,"191025, Санкт-Петербург, пр. Невский, д. 84-86","59.9326,30.3507",Центральный,Ченцов Дмитрий Викторович,244-38-68,244-38-69,
4,"СПб ГАУЗ ""Городская поликлиника №81""","Хозрасчетные поликлиники, амбулатории","190000, Санкт-Петербург, Казанская ул., д.54, литера А","59.9279,30.3079",Адмиралтейский,Иванов Константин Георгиевич,315-25-10,,
5,"СПб ГАУЗ ""Городская поликлиника №83""","Хозрасчетные поликлиники, амбулатории","197198, Санкт-Петербург, пр. Большой П.С., д. 10","59.9543,30.29",Петроградский,Кузьмин-Крутецкий Михаил Игоревич,233-67-69,235-82-89,
6,"СПб ГАУЗ ""Поликлиника городская стоматологическая №22""",Хозрасчетные стоматологические поликлиники,"191014, Санкт-Петербург, пер. Басков, д. 38","59.9393,30.3661",Центральный,Прожерина Неонила Георгиевна,327-33-10,273-70-13,
7,"СПб ГАУЗ ""Хоспис (детский и взрослый)""",Хосписы,"192131, Санкт-Петербург, ул.Бабушкина, д.56 корп.3 лит.А","59.8699,30.453",Невский,Кононова Елизавета Леонидовна,576-19-74,576-19-74,
8,"СПб ГБПОУ ""Акушерский колледж""",Учреждение среднего профессионального образования,"195269, Санкт-Петербург, ул. Учительская, д. 9, корп. 3","60.0333,30.39",Калининский,Батраков Дмитрий Юрьевич,246-22-50,246-22-50,
9,"СПб ГБПОУ ""Медицинский колледж №1""",Учреждение среднего профессионального образования,"198188, Санкт-Петербург, ул. Зайцева, д. 28, лит. А","59.8794,30.2722",Кировский,Бубликова Ирина Владимировна,786-01-44,786-01-44,
10,"СПб ГБПОУ ""Медицинский колледж №2""",Учреждение среднего профессионального образования,"198205, Санкт-Петербург, ул. Чекистов, д. 18","59.842,30.1784",Красносельский,Ряскин Александр Николаевич,409-70-13,409-70-13,
11,"СПб ГБПОУ ""Медицинский колледж №3""",Учреждение среднего профессионального образования,"194354, Санкт-Петербург, пер. Учебный, д. 9","60.0369,30.3416",Выборгский,Федотова Наталия Витальевна,510-67-44,510-67-44,
12,"СПб ГБПОУ ""Медицинский колледж им. В.М. Бехтерева""",Учреждение среднего профессионального образования,"196247, Санкт-Петербург, пр. Ленинский, д. 149","59.8509,30.2991",Московский,"Курбатова Ульяна Борисовна""",246-24-43,246-24-43,
13,"СПб ГБПОУ ""Медицинский техникум №2""",Учреждение среднего профессионального образования,"192102, Санкт-Петербург, Волковский пр., 106","59.8893,30.3559",Фрунзенский,Баженова Ольга Петровна,246-32-30,246-32-30,
14,"СПб ГБПОУ ""Медицинский техникум №9""",Учреждение среднего профессионального образования,"197183, Санкт-Петербург, ул. Савушкина, д. 5","59.9877,30.2981",Приморский,Спиридонова Любовь Николаевна,246-31-67,246-31-67,
15,"СПб ГБПОУ ""Фельдшерский колледж""",Учреждение среднего профессионального образования,"195267, Санкт-Петербург, ул. Ушинского, д. 45","60.0438,30.4179",Калининский,Котова Галина Николаевна,531-16-22,,
16,"СПб ГБУ ""Психоневрологический диспансер №10""",Психоневрологические диспансеры,"190121, Санкт-Петербург, пер. Матвеева, д. 3 литера Г","59.9264,30.2915",Адмиралтейский,Серебрякова Елена Вячеславовна,714-20-10,714-20-10,
17,"СПб ГБУ ДПО ""Центр последипломного образования специалистов медицинского профиля """,Учреждение среднего профессионального образования,"191028, Санкт-Петербург, ул. Кирочная, д. 16","59.9441,30.355",Центральный,Регентова Елена Сергеевна,272-17-37,273-32-18,
18,"СПб ГБУЗ ""Бюро судебно-медицинской экспертизы""",Учреждения здравоохранения особого типа,"195067, Санкт-Петербург, пр. Екатерининский, д. 10","59.9844,30.4382",Красногвардейский,Ягмуров Оразмурад Джумаевич,544-17-17,544-17-17,
19,"СПб ГБУЗ ""Введенская городская клиническая больница""",Городские больницы (включая клинические),"191180, Санкт-Петербург, пер. Лазаретный, д. 4","59.9216,30.3274",Адмиралтейский,Парцерняк Сергей Александрович,764-77-83,764-77-83,
20,"СПб ГБУЗ ""Восстановительный центр детской ортопедии и травматологии ""Огонек""",Санаторно-курортные учреждения,"198515, Санкт-Петербург, п.Стрельна, Санкт-Петербургское шоссе, д.101а","59.8566,30.0158",Петродворцовый,Фалинский Александр Александрович,421-11-45,421-11-45,
21,"СПб ГБУЗ ""Врачебно-физкультурный диспансер №3 (межрайонный)""",Врачебно - физкультурные диспансеры,"198152, Санкт-Петербург, ул. Автовская, д. 18","59.8694,30.2699",Кировский,Ефимов Игорь Анатольевич,573-98-50,784-85-38,
22,"СПб ГБУЗ ""Врачебно-физкультурный диспансер Красногвардейского района""",Врачебно - физкультурные диспансеры,"195112, Санкт-Петербург, пр. Новочеркасский, д. 15","59.9367,30.4057",Красногвардейский,Аскарова Мария Владимировна,528-88-70,528-88-70,
23,"СПб ГБУЗ ""Гериатрическая больница №1""",Гериатрические больницы,"194214, Санкт-Петербург, ул. Ракитовская, д. 29","60.0298,30.3077",Выборгский,Дейбук Алексей Григорьевич,293-45-49,293-45-49,
24,"СПб ГБУЗ ""Городская Александровская больница""",Городские больницы (включая клинические),"193312, Санкт-Петербург, пр. Солидарности, д. 4","59.928,30.4893",Невский,Линец Юрий Павлович,583-16-23,589-11-41,
25,"СПб ГБУЗ ""Городская больница №14""",Городские больницы (включая клинические),"198099, Санкт-Петербург, ул. Косинова, д. 19/9","59.8953,30.2716",Кировский,Хохлова Ирина Михайловна,786-76-76,786-87-39,
26,"СПб ГБУЗ ""Городская больница №15""",Городские больницы (включая клинические),"198205, Санкт-Петербург, ул. Авангардная, д. 4","59.8395,30.1815",Красносельский,Новицкий Андрей Викторович,330-15-15,735-07-66,
27,"СПб ГБУЗ ""Городская больница №20""",Городские больницы (включая клинические),"196135, Санкт-Петербург, ул. Гастелло, д. 21","59.857,30.3345",Московский,Суровцева Татьяна Викторовна,373-30-31,373-70-10,
28,"СПб ГБУЗ ""Городская больница №26""",Городские больницы (включая клинические),"196247, Санкт-Петербург, ул. Костюшко, д. 2","59.8491,30.2955",Московский,Дорофеев Василий Иванович,415-18-72,415-19-02,
29,"СПб ГБУЗ ""Городская больница №28 ""Максимилиановская""",Городские больницы (включая клинические),"190000, Санкт-Петербург, ул. Декабристов, д. 1-3","59.9294,30.3077",Адмиралтейский,Савицкая Ирина Владимировна,314-51-92,314-81-93,
30,"СПб ГБУЗ ""Городская больница №33""",Городские больницы (включая клинические),"196653,Санкт-Петербург, г.Колпино, ул. Павловская, д.16, лит. А","59.7472,30.5853",Колпинский,Журавлёв Сергей Васильевич,242-38-02,242-36-20,
31,"СПб ГБУЗ ""Городская больница №38 им. Н.А.Семашко""",Городские больницы (включая клинические),"196600, Санкт-Петербург, г.Пушкин, ул.Госпитальная, д.7/2 литер А","59.7185,30.4178",Пушкинский,Панфиленко Александр Федорович,718-39-25,406-77-43,
32,"СПб ГБУЗ ""Городская больница №40 Курортного района""",Городские больницы (включая клинические),"197706, Санкт-Петербург, г.Сестрорецк, ул. Борисова, д. 9, лит.Б","60.1022,29.9699",Курортный,Щербак Сергей Григорьевич,437-10-35,437-14-92,
33,"СПб ГБУЗ ""Городская больница №9""",Городские больницы (включая клинические),"197110, Санкт-Петербург, пр.Крестовский, д.18","59.9687,30.2611",Петроградский,Шишкин Юрий Михайлович,409-20-26,235-05-77,
34,"СПб ГБУЗ ""Городская больница Св. Георгия""",Городские больницы (включая клинические),"194354, Санкт-Петербург, пр. Северный, д. 1","60.0292,30.3274",Выборгский,Стрижелецкий Валерий Викторович,511-96-00,511-95-00,
35,"СПб ГБУЗ ""Городская больница Святого Праведного Иоанна Кронштадтского""",Городские больницы (включая клинические),"197762, Санкт-Петербург, г.Кронштадт, ул. Газовый завод, д. 3, лит. А","59.988,29.7966",Кронштадтский,Новик Юрий Алексеевич,409-81-32,435-31-44,
36,"СПб ГБУЗ ""Городская детская стоматологическая поликлиника №6""",Детские стоматологические поликлиники,"198068, Санкт-Петербург, пр. Вознесенский, д.34 литер В","59.9256,30.3087",Адмиралтейский,Седнева Яна Юрьевна,310-06-84,310-08-85,
37,"СПб ГБУЗ ""Городская клиническая больница №31""",Городские больницы (включая клинические),"197110, Санкт-Петербург, пр. Динамо, д. 3","59.9722,30.2791",Петроградский,Рывкин Анатолий Юрьевич,246-00-01,246-00-01,
38,"СПб ГБУЗ ""Городская Мариинская больница""",Городские больницы (включая клинические),"191104, Санкт-Петербург, пр. Литейный, д. 56","59.9351,30.3494",Центральный,Завражнов Анатолий Анатольевич,275-74-33,275-73-26,
39,"СПб ГБУЗ ""Городская многопрофильная больница №2""",Городские больницы (включая клинические),"194354, Санкт-Петербург, пер. Учебный, д. 5","60.0372,30.3367",Выборгский,Волчков Владимир Анатольевич,338-48-84,296-40-67,
40,"СПб ГБУЗ ""Городская наркологическая больница""",Наркологические больницы,"199004, Санкт-Петербург, линия. 5-я В.О., д. 58-60, лит. А","59.9465,30.2776",Василеостровский,Константинов Дмитрий Павлович,323-43-08,323-43-08,
41,"СПб ГБУЗ ""Городская Покровская больница""",Городские больницы (включая клинические),"199106, Санкт-Петербург, пр. Большой В.О., д. 85","59.9312,30.2536",Василеостровский,Бахолдина Марина Николаевна,322-25-98,322-00-78,
42,"СПб ГБУЗ ""Городская поликлиника №100 Невского района Санкт-Петербурга""",Поликлиники,"193318, Санкт-Петербург, пр.Искровский, д.10","59.9114,30.4621",Невский,Лаура Ольга Борисовна,588-77-71,588-77-71,
43,"СПб ГБУЗ ""Городская поликлиника №102""",Поликлиники,"197341, Санкт-Петербург, ул. Королева, д. 5","60.0104,30.2919",Приморский,Новикова Татьяна Николаевна,417-23-89,301-88-17,
44,"СПб ГБУЗ ""Городская поликлиника №104""",Поликлиники,"194354, Санкт-Петербург, ул.Сикейроса, д.10, литер А","60.0356,30.331",Выборгский,Мансуров Ильдар Риялович,576-37-52,576-37-52,
45,"СПб ГБУЗ ""Городская поликлиника №106""",Поликлиники,"198328, Санкт-Петербург, ул.Рихарда Зорге, д.1","59.8502,30.1776",Красносельский,Кунин Вадим Григорьевич,246-02-00,246-02-00,
46,"СПб ГБУЗ ""Городская поликлиника №107""",Поликлиники,"195030, Санкт-Петербург, ул.Коммуны, д.36, литер А","59.951,30.4989",Красногвардейский,Архипов Игорь Викторович,777-92-82,525-52-71,
47,"СПб ГБУЗ ""Городская поликлиника №109""",Поликлиники,"192283, Санкт-Петербург, ул.Олеко Дундича, д.8, корп.2","59.8293,30.3914",Фрунзенский,Мелихов Евгений Анатольевич,778-88-54,778-88-54,
48,"СПб ГБУЗ ""Городская поликлиника №111""",Поликлиники,"197349, Санкт-Петербург, ул.Ольховая, д.6","60.015,30.2638",Приморский,Клочкова Евгения Леонидовна,348-99-88,348-99-88,
49,"СПб ГБУЗ ""Городская поликлиника №112""",Поликлиники,"195427, Санкт-Петербург, ул.Академика Байкова, д.25, корп.1","60.0241,30.3864",Калининский,Власов Дмитрий Александрович,555-92-22,555-92-22,
50,"СПб ГБУЗ ""Городская поликлиника №114""",Поликлиники,"197374, Санкт-Петербург, ул.Школьная,, д.116, корп.1, литер А","59.9913,30.2116",Приморский,Анисимова Светлана Викторовна,344-27-93,344-27-93,
51,"СПб ГБУЗ ""Городская поликлиника №117""",Поликлиники,"194358, Санкт-Петербург, ул.Симонова, д.5, корп.1, литер А","60.057,30.3246",Выборгский,Сахарчук Валентин Иванович,497-73-25,497-73-25,
52,"СПб ГБУЗ ""Городская поликлиника №118""",Поликлиники,"195427, Санкт-Петербург, ул.Академика Байкова, д.27","60.0236,30.3878",Калининский,Щербакова Елена Геннадьевна,550-80-90,550-80-90,
53,"СПб ГБУЗ ""Городская поликлиника №120""",Поликлиники,"195426, Санкт-Петербург, ул.Ленская, д.4 к.1, литера А","59.9414,30.4822",Красногвардейский,Сафонов Сергей Михайлович,577-25-00,577-25-51,
54,"СПб ГБУЗ ""Городская поликлиника №122""",Поликлиники,"198412, Санкт-Петербург, г.Ломоносов, ул. Красноармейская, д.20, 198510, Санкт-Петербург, г.Петродворец, ул.Аврова, д.19, литер А","59.9073,29.7787",Петродворцовый,Литвинова Елена Владимировна,423-09-08,423-09-08,
55,"СПб ГБУЗ ""Городская поликлиника №14""",Поликлиники,"194021, Санкт-Петербург, пр. 2-й Муринский, д. 35","59.9999,30.349",Выборгский,Панов Виктор Петрович,550-24-67,550-22-59,
56,"СПб ГБУЗ ""Городская поликлиника №17""",Поликлиники,"195176, Санкт-Петербург, пр. Металлистов, д. 56, лит.А","59.9565,30.4201",Красногвардейский,Романов Андрей Владимирович,222-51-90,222-62-72,
57,"СПб ГБУЗ ""Городская поликлиника №19""",Поликлиники,"192238, Санкт-Петербург, ул. Пражская, д. 11","59.8768,30.3848",Фрунзенский,Карайланов Михаил Георгиевич,246-15-30,269-11-29,
58,"СПб ГБУЗ ""Городская поликлиника №21""",Поликлиники,"196247, Санкт-Петербург, ул. Костюшко, д. 6","59.8494,30.2993",Московский,Никитин Андрей Иванович,242-35-37,375-39-12,
59,"СПб ГБУЗ ""Городская поликлиника №22""",Поликлиники,"196651, Санкт-Петербург, г.Колпино, Финляндская ул., д.13 корп.4 лит.БТ","59.7516,30.5949",Колпинский,Волков Алексей Яковлевич,573-99-50,573-99-50,
60,"СПб ГБУЗ ""Городская поликлиника №23""",Поликлиники,"198099, Санкт-Петербург, ул. Косинова, д. 17, лит.А","59.8962,30.2722",Кировский,Мельник Ольга Алексеевна,786-66-66,786-66-66,
61,"СПб ГБУЗ ""Городская поликлиника №24""",Поликлиники,"198013, Санкт-Петербург, ул. Серпуховская, д. 7","59.9162,30.3219",Адмиралтейский,Кнестяпин Руслан Вадимович,409-80-97,316-16-55,
62,"СПб ГБУЗ ""Городская поликлиника №25 Невского района""",Поликлиники,"193318, Санкт-Петербург, пр.Солидарности, д.1 корп.1, лит. А","59.9287,30.4855",Невский,Колбин Михаил Юрьевич,580-88-32,580-88-32,
63,"СПб ГБУЗ ""Городская поликлиника №27""",Поликлиники,"190068, Санкт-Петербург, пр. Вознесенский, д. 29, лит.А","59.9256,30.3079",Адмиралтейский,Команенко Андрей Александрович,246-39-98,246-39-98,
64,"СПб ГБУЗ ""Городская поликлиника №28""",Поликлиники,"190013, Санкт-Петербург, пер. Подъездной, д. 2 литер А","59.9208,30.3302",Адмиралтейский,Давыдов Сергей Вячеславович,764-67-00,764-67-00,
65,"СПб ГБУЗ ""Городская поликлиника №3""",Поликлиники,"199155, Санкт-Петербург, В.О. Ул. Железноводская, д. 64","59.9499,30.2369",Василеостровский,Чубарова Наталья Андреевна,417-36-68,350-64-95,
66,"СПб ГБУЗ ""Городская поликлиника №30""",Поликлиники,"197110, Санкт-Петербург, ул. Малая Зеленина, д. 6","59.9631,30.2806",Петроградский,Ушакова Елена Викторовна,235-10-77,235-10-77,
67,"СПб ГБУЗ ""Городская поликлиника №32""",Поликлиники,"197022, Санкт-Петербург, пер.Вяземский, д.3","59.9718,30.3031",Петроградский,Ширшова Наталья Юрьевна,234-57-49,346-13-88,
68,"СПб ГБУЗ ""Городская поликлиника №34""",Поликлиники,"197198, Санкт-Петербург, ул.Зверинская, д.15","59.9529,30.2975",Петроградский,Дементьев Владимир Евгеньевич,233-11-08,233-11-08,
69,"СПб ГБУЗ ""Городская поликлиника №37""",Поликлиники,"191186, Санкт-Петербург, ул.Гороховая, д.6, лит.А","59.9359,30.3115",Центральный,Ким Андрей Вячеславович,312-82-43,312-82-43,
70,"СПб ГБУЗ ""Городская поликлиника №38""",Поликлиники,"193015, Санкт-Петербург, ул. Кавалергардская, д. 26, лит.А","59.9462,30.3828",Центральный,Уваров Сергей Юрьевич,271-44-98,271-44-98,
71,"СПб ГБУЗ ""Городская поликлиника №39""",Поликлиники,"191123, Санкт-Петербург, ул. Фурштатская, д.36, лит.Б","59.9454,30.3582",Центральный,Гензик Ольга Владимировна,272-84-17,272-99-38,
72,"СПб ГБУЗ ""Городская поликлиника №4""",Поликлиники,"199178, Санкт-Петербург, пр. Большой В.О., д. 59, лит. А","59.9359,30.2694",Василеостровский,Лотцан-Медведев Анатолий Казимирович,246-55-84,246-55-84,
73,"СПб ГБУЗ ""Городская поликлиника №43""",Поликлиники,"198207, Санкт-Петербург, пр.Ленинский, д.123, корп.2","59.851,30.2621",Кировский,Родыгин Сергей Александрович,241-37-09,376-70-65,
74,"СПб ГБУЗ ""Городская поликлиника №44""",Поликлиники,"192071, Санкт-Петербург, ул. Будапештская, д.20","59.8662,30.373",Фрунзенский,Гопеенко Владимир Викторович,246-23-96,246-23-96,
75,"СПб ГБУЗ ""Городская поликлиника №46""",Поликлиники,"193174, Санкт-Петербург, ул. Седова, д.95, корп. 2, лит.А","59.8664,30.4413",Невский,Василевская Людмила Николаевна,362-03-68,362-03-68,
76,"СПб ГБУЗ ""Городская поликлиника №48""",Поликлиники,"196191, Санкт-Петербург, ул. Бассейная, д.19","59.8641,30.3079",Московский,Шипилова Валентина Александровна,417-59-89,375-63-00,
77,"СПб ГБУЗ ""Городская поликлиника №49""",Поликлиники,"197343, Санкт-Петербург, ул.Ланская, д.12","59.9992,30.3202",Приморский,Наумова Фарида Хамитовна,241-33-47,241-33-47,
78,"СПб ГБУЗ ""Городская поликлиника №51""",Поликлиники,"196211, Санкт-Петербург, пр. Космонавтов, д.33-35","59.8565,30.3488",Московский,Никитина Оксана Григорьевна,241-28-60,241-28-60,
79,"СПб ГБУЗ ""Городская поликлиника №52""",Поликлиники,"194356, Санкт-Петербург, ул. Асафьева, д.1","60.0474,30.3201",Выборгский,Вареников Владимир Александрович,596-00-01,596-00-13,
80,"СПб ГБУЗ ""Городская поликлиника №54""",Поликлиники,"195197, Санкт-Петербург, ул. Васенко, д.9","59.969574,30.392575",Калининский,Каканов Александр Михайлович,417-40-48,417-40-48,
81,"СПб ГБУЗ ""Городская поликлиника №56""",Поликлиники,"192241, Санкт-Петербург, ул.Пражская, д.40","59.8687,30.3974",Фрунзенский,Балашов Алексей Львович,246-46-93,246-46-93,
82,"СПб ГБУЗ ""Городская поликлиника №6""",Поликлиники,"192148, Санкт-Петербург, пр. Елизарова, д. 32, корп. 2, лит.А","59.8928,30.4095",Невский,Бычков Роман Васильевич,365-37-69,365-37-69,
83,"СПб ГБУЗ ""Городская поликлиника №60 Пушкинского района""",Поликлиники,"196601, Санкт-Петербург, г. Пушкин, ул. Московская, д. 15","59.7207,30.4024",Пушкинский,Жолудь Валентина Борисовна,246-08-01,246-08-01,
84,"СПб ГБУЗ ""Городская поликлиника №62""",Поликлиники,"190121, Санкт-Петербург, пер. Матвеева, д. 3","59.9265,30.2922",Адмиралтейский,Мироненко Александр Николаевич,326-41-75,326-41-75,
85,"СПб ГБУЗ ""Городская поликлиника №63""",Детские поликлиники,"194358, Санкт-Петербург, ул.Симонова, д.3, литер А","60.0563,30.3245",Выборгский,Рубанова Олеся Михайловна,515-79-13,515-51-84,
86,"СПб ГБУЗ ""Городская поликлиника №71""",Поликлиники,"196653, Санкт-Петербург, г. Колпино, ул.Павловская, д.10","59.7468,30.5882",Колпинский,Семенов Дмитрий Викторович,246-71-46,246-71-46,
87,"СПб ГБУЗ ""Городская поликлиника №72""",Поликлиники,"196641, Санкт-Петербург, п.Металлострой, ул.Пионерская, д.1","59.8103,30.5725",Колпинский,Камчаткина Татьяна Александровна,241-54-60,241-54-60,
88,"СПб ГБУЗ ""Городская поликлиника №74""",Поликлиники,"197762, Санкт-Петербург, г. Кронштадт, ул. Комсомола, д. 2, литер А","59.9927,29.7888",Кронштадтский,Сергеев Михаил Николаевич,311-98-45,311-98-45,
89,"СПб ГБУЗ ""Городская поликлиника №75""",Поликлиники,"196128, Санкт-Петербург, ул. Кузнецовская, д.9","59.8708,30.309",Московский,Коновал Алексей Иосифович,241-37-78,241-37-78,
90,"СПб ГБУЗ ""Городская поликлиника №76""",Поликлиники,"194021, Санкт-Петербург, ул. Хлопина, д.11, корп. 1","59.9997,30.3748",Калининский,Алешко Оксана Валерьевна,534-47-77,534-47-77,
91,"СПб ГБУЗ ""Городская поликлиника №77 Невского района""",Поликлиники,"192177, Санкт-Петербург, пр.Шлиссельбургский, д.25, корп.1","59.8373,30.5017",Невский,Габриелова Елена Ивановна,700-51-49,700-51-49,
92,"СПб ГБУЗ ""Городская поликлиника №78""",Поликлиники,"192239, Санкт-Петербург, ул.Будапештская, д.63 корп.2","59.85,30.383",Фрунзенский,Винтовкин Артем Сергеевич,361-17-00,361-17-00,
