№,Кадастровый номер,Наименование объекта,Район города,Адрес,Правоустанавливающий документ,Дата начала,Дата окончания,Наименование генерального подрядчика,Общая площадь,Дата предоставления отчета инвестором,Состояние дел на объекте,Тип строительства
1,78:10:0005556:5,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО,
ПРОСПЕКТ ЛУНАЧАРСКОГО, УЧАСТОК 1",Калининский,"Санкт-Петербург, проспект Луначарского, участок 1, (северо-восточнее пересечения с Лужской улицей)",Договор безвозмездного пользования № 04/ЗБ-04089 от 25.01.2021 (ФКСР),05.04.2021,30.12.2022,"№ 09/ОК-21 от 05.04.2021
ООО ""Глобус""",6726.0,-,"Ведутся работы по кирпичной кладке стен и перегородок, штукатурке, монолитные работы",СМР
2,78:40:0008339:89,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО,
ПЕТЕРГОФСКОЕ ШОССЕ, УЧАСТОК 1",Красносельский,"Санкт-Петербург, Петергофское шоссе, участок 1, (северо-западнее пересечения с улицей Адмирала Трибуца)",Договор безвозмездного пользования № 08/ЗБ-03066 от 18.12.2020 (ФКСР),05.04.2021,25.12.2023,"№ 10/ОК-21 от 05.04.2021
ООО ""Глобус""",4736.39,-,"Ведутся работы по арматурным заготовкам для армирования стен здания на арматурном участке, вязке армокаркасов стен  в осях 1-7, демонтажу и перемещению опалубку на новую захватку, завозу песка для засыпки пазух по периметру здания",СМР
3,78:36:0557301:28,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО, 
2-Й ВЕРХНИЙ ПЕРЕУЛОК, УЧАСТОК 1",Выборгский,"Санкт-Петербург, 2-й Верхний переулок, участок1 (восточнее дома 10, литера К 
по 2-му Верхнему переулку) (нежилая зона ""ПАРНАС"", квартал 3)",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",2563.5,-,Работы не ведутся,СМР
4,78:38:0022340:8,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО, ПОС.КОМАРОВО, УЛ. СЕВЕРНАЯ, Д.4, ЛИТЕРА А",Курортный,"Санкт-Петербург, пос. Комарово, ул. Северная, д.4, литера А","Постоянное (бессрочное) пользование №78-78-04/021/2011-170 от 26.11.2011 (СПб ГКУ ""ПСО ПС СПб по Курортному району СПб"")",-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",1834.32,-,Работы не ведутся,СМР
5,78:36:0013403:3002,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО, ПОСЕЛОК ПАРГОЛОВО, КОМЕНДАНТСКИЙ ПРОСПЕКТ, УЧАСТОК 1",Выборгский,"Санкт-Петербург, пос. Парголово, Комендантский пр., участок 1 (юго-западнее дома № 140, литера А по Комендантскому пр.) (территория Санкт-Петербургского Государственного учреждения ""Курортный лесопарк"", квартал 68 Песочинского лесничества)",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",2388.8,-,Работы не ведутся,СМР
6,78:40:0905017:17,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО  КРАСНОЕ СЕЛО, КИНГИСЕППСКОЕ ШОССЕ, УЧАСТОК 1",Красносельский,"Санкт-Петербург, г. Красное село, Кингисеппское шоссе, участок 1 (юго-восточнее дома № 49, корпус 3, литера А по Кингисеппскому шоссе) (г. Красное село, квартал Т)",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",2357.6,-,Работы не ведутся,СМР
7,78:34:0428601:1385,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, НИЖНЕ-КАМЕНСКАЯ УЛИЦА, УЧАСТОК 46",Приморский,"Санкт-Петербург, Нижне-Каменская улица, участок 46,
(территория квартала 74Б района Каменка, ограниченной
Глухарской улицей, проспектом Авиаконструкторов,
Плесецкой улицей, Нижне-Каменской улицей; ФЗУ № 1)",Договор безвозмездного пользования №17/ЗБ-07200 от 01.02.2019 (ФКСР),28.11.2019,15.12.2021,"№ 19/ЗП-19 от 28.11.2019
ООО «ИСК «НКС»  (ГОВР)",21352.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 15.12.2021 № 78-15-110-2021",СМР
8,78:34:0428601:1388,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, ГЛУХАРСКАЯ УЛИЦА, УЧАСТОК 57",Приморский,"Санкт-Петербург, Глухарская улица, участок 57, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул.; ФЗУ № 3)",Договор безвозмездного пользования №17/ЗБ-07642 от 14.12.2020 (ФКСР),15.09.2021,25.12.2023,"№ 69/ОК-21 от 15.09.2021
ООО «ИСК «НКС»",20490.6,-,"Земляные работы по откопке котлована в осях 1-10/А-М (1 секция). 
Устройство песчаной и бетонной подготовки под ростверки в осях 11-17/А-М (2 секция). 
Устройство монолитного ростверка фундаментной плиты. Выполнено в осях 18-27/А-М (3 секция). Под 2 секцию каркасы заготовлены.
Бетонирование фундамента 2-го башенного крана",СМР
9,78:34:0428601:1387,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, ГЛУХАРСКАЯ УЛИЦА, УЧАСТОК 58",Приморский,"Санкт-Петербург, Глухарская улица, участок 58, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул.; ФЗУ № 2)",Договор безвозмездного пользования №17/ЗБ-07643 от 14.12.2020 (ФКСР),-,25.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",29567.63,-,Работы не ведутся,СМР
10,78:13:0007440:6051,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, ШИПКИНСКИЙ ПЕР., Д.3, КОРП.2, ЛИТЕРА А",Фрунзенский,"Санкт-Петербург, Шипкинский пер., д. 3, корп. 2, литера А",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022 г.)",5821.42,-,Работы не ведутся,СМР
11,78:15:0843203:10,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА,  УЛИЦА СОЛДАТА КОРЗУНА, УЧАСТОК 3",Кировский,"Санкт-Петербург, ул. Солдата Корзуна, участок 3 (юго-восточнее пересечения с пр. Маршала Журова)",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022 г.)",22600.5,-,Работы не ведутся,СМР
12,"78:14:0769203:7136
78:14:0769203:1028
78:14:0769203:74
78:14:0769203:73",ИНЖЕНЕРНАЯ ПОДГОТОВКА ТЕРРИТОРИИ КВАРТАЛА 15 ВОСТОЧНЕЕ ПР. ЮРИЯ ГАГАРИНА,Московский,"Российская Федерация, Санкт-Петербург, муниципальный округ Гагаринское, проспект Космонавтов, участок 17, (внутриквартальные проезды на территории квартала 15 восточнее проспекта Юрия Гагарина в Московском районе);
г.Санкт-Петербург, проспект Космонавтов, участок 160, (у дома 100 по проспекту Космонавтов);
Санкт-Петербург, Дунайский проспект, участок 3, (южнее дома 29, корпус 2, литера А);
Санкт-Петербург, Дунайский проспект, участок 6, (южнее дома 29, корпус 2, литера А)","Договоры безвозмездного пользования (ФКСР):
№ 12/ЗБ-03440 от 23.03.2020
№ 12/ЗБ-03434 от 17.03.2020
№ 12/ЗБ-03435 от 17.03.2020 
№ 12/ЗБ-03460 от 22.06.2020",15.09.2020,30.12.2021,"№ 69/ЭА-20 от 15.09.2020
ООО ""КИТ"" 
№ 103/ОК-21 от 17.12.2021
ООО ""КИТ""
№ 104/ОК-21 от 17.12.2021
ООО ""КИТ""",67127.0,-,получено разрешение на ввод объекта в эксплуатацию от 30.12.2021 № 78-11-106-2021,СМР
13,"78:34:0428601:1139
78:34:0428601:1392
78:34:0428601:1393
78:34:0428601:1394",ИНЖЕНЕРНАЯ ПОДГОТОВКА ТЕРРИТОРИИ КВАРТАЛА 74 Б РАЙОНА КАМЕНКА,Приморский,"Санкт-Петербург, Глухарская улица, участок 15, (западнее пересечения с проспектом Авиаконструкторов);
Санкт-Петербург, Плесецкая улица, участок 2, (южнее пересечения с Нижне-Каменской улицей);
Санкт-Петербург, проспект Авиаконструкторов, участок 80, (от Плесецкой улицы до Глухарской улицы);
Санкт-Петербург, Глухарская улица, участок 59, (юго-западнее пересечения с Нижне-Каменской улицей);","Договоры безвозмездного пользования (ФКСР):
№17/ЗБ-07449 от 18.03.2020;
№17/ЗБ-07457 от 18.03.2020;
№17/ЗБ-07425 от 18.03.2020;
№17/ЗБ-07450 от 18.03.2020;",24.03.2020,30.12.2021,"№ 11/ЗП-20 от 24.03.2020 ООО ""Террикон""",81010.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 30.12.2021 № 78-15-129-2021",СМР
14,"78:34:0428601:1395
78:34:0428601:1396
78:34:0428601:1397
78:34:0428601:1400",ИНЖЕНЕРНАЯ ПОДГОТОВКА ТЕРРИТОРИИ КВАРТАЛА 74 Б РАЙОНА КАМЕНКА,Приморский,"Санкт-Петербург, Глухарская улица, участок 60, (юго-западнее пересечения с Нижне-Каменской улицей));
Санкт-Петербург, муниципальный округ Юнтолово, Нижне-Каменская улица, участок 50, (северо-западнее пересечения с Глухарской улицей);
Санкт-Петербург, муниципальный округ Юнтолово, Плесецкая улица, участок 3, (от проспекта Авиаконструкторов до Нижне-Каменской улицы);
Санкт-Петербург, муниципальный округ Юнтолово, Глухарская улица, участок 64, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул; ФЗУ №9);","Договоры безвозмездного пользования (ФКСР):
№17/ЗБ-07451 от 18.03.2020;
№17/ЗБ-07455 от 18.03.2020;
№17/ЗБ-07453 от 18.03.2020;
№17/ЗБ-07452 от 18.03.2020;",24.03.2020,30.12.2021,"№ 11/ЗП-20 от 24.03.2020 ООО ""Террикон""",81010.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 30.12.2021 № 78-15-129-2021",СМР
15,"78:34:0428601:1401
78:34:0428601:1402
78:34:0000000:8731
78:34:0000000:8792",ИНЖЕНЕРНАЯ ПОДГОТОВКА ТЕРРИТОРИИ КВАРТАЛА 74 Б РАЙОНА КАМЕНКА,Приморский,"Санкт-Петербург, муниципальный округ Юнтолово, Нижне-Каменская улица, участок 53, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул; ФЗУ № 7);
Санкт-Петербург, муниципальный округ Юнтолово, Глухарская улица, участок 63, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул; ФЗУ № 8);
Санкт-Петербург, муниципальный округ Юнтолово, проспект Авиаконструкторов, участок 81, (от Глухарской улицы до Плесецкой улицы);
Санкт-Петербург, муниципальный округ Юнтолово, Нижне-Каменская улица, участок 51, (от Плесецкой улицы до Глухарской улицы)","Договоры безвозмездного пользования (ФКСР):
№17/ЗБ-07456 от 18.03.2020;
№17/ЗБ-07454 от 18.03.2020;
№17/ЗБ-07426 от 18.03.2020;
№17/ЗБ-07502 от 18.03.2020",24.03.2020,30.12.2021,"№ 11/ЗП-20 от 24.03.2020 ООО ""Террикон""",81010.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 30.12.2021 № 78-15-129-2021",СМР
16,78:10:0000000:3139,"ИНЖЕНЕРНАЯ ПОДГОТОВКА ТЕРРИТОРИИ, ОГРАНИЧЕННОЙ ПР. МАРШАЛА БЛЮХЕРА, ПРОЕКТИРУЕМОЙ УЛ., ПОЛЮСТРОВСКИМ ПР., ПРОЕКТИРУЕМОЙ УЛ.",Калининский,"Санкт-Петербург, пр. Маршала Блюхера, Проектируемая ул., Полюстровский пр., Проектируемая ул.",на стадии подготовки,-,30.12.2025,"КОНКУРС
(ГК - июнь 2022 г.)",167052.0,-,Работы не ведутся,СМР
17,"78:34:0000000:8644
78:34:0000000:8710
78:34:0000000:8632",СТРОИТЕЛЬСТВО ОБЪЕКТА: БОГАТЫРСКИЙ ПР. ОТ ЯХТЕННОЙ УЛ. ДО СТАРОДЕРЕВЕНСКОЙ УЛ,Приморский,"Санкт-Петербург, Богатырский проспект, участок 103, (от Елагинского проспекта до Стародеревенской улицы);
Санкт-Петербург, Планерная улица, участок 64, (ЗСД, от Богатырского проспекта до реки Большая Невка);
Санкт-Петербург, Богатырский проспект, участок 102, (от Яхтенной улицы до Елагинского проспекта)","Договоры безвозмездного пользования (ФКСР):
№17/ЗБ-07210 от 12.02.2019;
№17/ЗБ-07209 от 12.02.2019;
№17/ЗБ-07211 от 12.02.2019",-,15.12.2022,"КОНКУРС
(ГК - июнь 2022 г.)",110520.0,-,Работы не ведутся,СМР
18,"78:12:0000000:3240
78:12:0631901:1025
78:12:0000000:3238
78:12:0631901:11197",ИНЖЕНЕРНО - ТРАНСПОРТНОЕ ОБЕСПЕЧЕНИЕ КВАРТАЛА 16 СЕВЕРНЕЕ УЛИЦЫ НОВОСЕЛОВ,Невский,"Санкт-Петербург, Союзный проспект, участок 8, (от улицы Бадаева до улицы Коллонтай);
Санкт-Петербург, улица Бадаева, участок 23, (юго-западнее дома 9, литера А);
Санкт-Петербург, Складская улица, участок 33, (от улицы Еремеева до Союзного проспекта);
Санкт-Петербуг, улица Еремеева, участок 14, (от Дальневосточного проспекта до Складской улицы)","Договоры безвозмездного пользования (ФКСР):
№13/ЗБ-05951 от 29.02.2018;
№13/ЗБ-05950 от 29.02.2018;
№13/ЗБ-05952 от 29.02.2018;
№13/ЗБ-05953 от 29.02.2018",14.09.2021,30.12.2023,"№ 71/ОК-21 от 14.09.2021 АО ""МегаМейд""",132052.0,-,"Ведутся работы по:
1. демонтажу шпунта К14 – К-21 после монтажа трубы ВО;
2. демонтажу непригодной трубы ВО;
3. монтажу трубы ВО Д1000 на захвате №1, захватка №2 выполнена;
4. начаты работы по устройству шпунтового ограждения котлованов 
для прокладки сетей водоснабжения на Захватке №1;
5. заготовке труб водоотведения и водоснабжения;
6. подготовке к производству работ Этап 2 от Союзного пр. этап 1, 
до ул. Складской.",СМР
19,78:10:0005138,"СТРОИТЕЛЬСТВО ПРОЕЗДА ОТ ПР. МАРШАЛА БЛЮХЕРА ДО ЗЕМЕЛЬНОГО УЧАСТКА ПО АДРЕСУ: УЛ.ЗАМШИНА, УЧ. 1, ЮЖНЕЕ Д.29, КОРП. 5, ЛИТЕРА А",Калининский,"Санкт-Петербург, улица Замшина, уч. 1, южнее д. 29, корп. 5, литера А",Разрешение на использование земельного участка № 9519 от 23.12.2020 (ФКСР),-,15.12.2022,"КОНКУРС
(ГК - апрель 2022г.)",218.7,-,Работы не ведутся,СМР
20,78:42:0016301:3026,"СТРОИТЕЛЬСТВО ВНУТРИКВАРТАЛЬНЫХ ПРОЕЗДОВ К ЗЕМЕЛЬНЫМ УЧАСТКАМ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. ПАВЛОВСК, КОЛХОЗНАЯ УЛ., УЧАСТКИ 30, 31, 32, 33, 34 (СЕВЕРО-ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С ЗВЕРИНИЦКОЙ УЛ.)",Пушкинский,"Санкт-Петербург, г. Павловск, Колхозная ул., участки 30, 31, 32, 33, 34 (северо-восточнее пересечения с Звериницской ул.)","Договор безвозмездного пользования (ФКСР):
18/ЗБ-03338 от 14.12.2021",-,30.12.2022,"КОНКУРС
(ГК - апрель 2022г.)",2603.0,-,Работы не ведутся,СМР
21,78:42:1630201:3043,"СТРОИТЕЛЬСТВО ВНУТРИКВАРТАЛЬНЫХ ПРОЕЗДОВ К ЗЕМЕЛЬНЫМ УЧАСТКАМ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. ПАВЛОВСК, ПОГРАНИЧНАЯ ФЕДОРОВСКАЯ ДОРОГА, УЧАСТКИ 24, 25, 26, 27, 28, 29 (ЮЖНЕЕ ПЕРЕСЕЧЕНИЯ С ЗВЕРИНИЦКОЙ УЛ.)",Пушкинский,"Санкт-Петербург, г. Павловск, Пограничная Федоровская дорога, участки 24, 25, 26, 27, 28, 29 (южнее пересечения с Звериницской ул.)","Договор безвозмездного пользования (ФКСР):
18/ЗБ-03340 от 14.12.2021",-,30.12.2022,"КОНКУРС
(ГК - апрель 2022г.)",6252.0,-,Работы не ведутся,СМР
22,78:42:1630201:3042,"СТРОИТЕЛЬСТВО ВНУТРИКВАРТАЛЬНЫХ ПРОЕЗДОВ К ЗЕМЕЛЬНЫМ УЧАСТКАМ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. ПАВЛОВСК, КОЛХОЗНАЯ УЛ., УЧАСТКИ 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23 (СЕВЕРО-ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С УЛИЦЕЙ ОБОРОНЫ)",Пушкинский,"Санкт-Петербург, г. Павловск, Колхозная ул., участки 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23 (северо-восточнее пересечения с ул. Обороны)","Договор безвозмездного пользования (ФКСР):
18/ЗБ-03339 от 14.12.2021",-,30.12.2022,"КОНКУРС
(ГК - апрель 2022г.)",8100.0,-,Работы не ведутся,СМР
23,78:34:0428601:1371 78:34:0428601:1378,"СТРОИТЕЛЬСТВО ОБЪЕКТА: 
ПР. АВИАКОНСТРУКТОРОВ ОТ ВЕРХНЕ-КАМЕНСКОЙ УЛ. ДО ПЛЕСЕЦКОЙ УЛ.",Приморский,"Санкт-Петербург, пр. Авиаконструкторов от Верхне-Каменской ул. до Плесецкой ул.",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - апрель 2022г.)",33721.0,-,Работы не ведутся,СМР
24,78:34:0428601:10479,"СТРОИТЕЛЬСТВО ОБЪЕКТА: ПЛЕСЕЦКАЯ УЛ. 
ОТ ПР. АВИАКОНСТРУКТОРОВ ДО ПЛАНЕРНОЙ УЛ.",Приморский,"Санкт-Петербург, Плесецкая ул. от пр. Авиаконструкторов до Планерной ул.",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - апрель 2022г.)",25874.0,-,Работы не ведутся,СМР
25,"78:34:0428601:10477
78:34:0000000:8098
78:34:0000000:9192
78:34:0428601:10476
78:34:0428601:1146
78:34:0428601:9952
 78:34:0428601:1380
78:34:0428601:1374","СТРОИТЕЛЬСТВО ОБЪЕКТА: ПЛАНЕРНАЯ УЛ. ОТ ГЛУХАРСКОЙ УЛ. ДО Р. КАМЕНКА,  1 ЭТАП. УЧАСТОК СТРОИТЕЛЬСТВА ПЛАНЕРНОЙ УЛ. ОТ ГЛУХАРСКОЙ УЛ. ДО ПК 9+75.46.",Приморский,"Санкт-Петербург, Планерная ул. от Глухарской ул. до р. Каменка",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - апрель 2022г.)",60958.0,-,Работы не ведутся,СМР
26,"78:34:0428601:1380
78:34:0428601:1374
78:34:0428601:1379","СТРОИТЕЛЬСТВО ОБЪЕКТА: ПЛАНЕРНАЯ УЛ. ОТ ГЛУХАРСКОЙ УЛ. ДО Р. КАМЕНКА,  2 ЭТАП. УЧАСТОК СТРОИТЕЛЬСТВА ПЛАНЕРНОЙ УЛ. ОТ ПК 9+75.46 ДО Р. КАМЕНКА.",Приморский,"Санкт-Петербург, Планерная ул. от Глухарской ул. до р. Каменка",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - апрель 2022г.)",60958.0,-,Работы не ведутся,СМР
27,-,СТРОИТЕЛЬСТВО ОБЪЕКТА: УЛИЧНО-ДОРОЖНАЯ СЕТЬ И ИНЖЕНЕРНЫЕ СЕТИ ПО УЛ. ГЛУХАРСКАЯ ОТ УЛ. НИЖНЕ-КАМЕНСКОЙ ДО КОМЕНДАНТСКОГО ПР.,Приморский,"Санкт-Петербург, Глухарская ул. от ул. Нижне-Каменской до Комендантского пр.",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - апрель 2022г.)",7660.0,-,Работы не ведутся,СМР
28,78:34:0004281:47053,"СТРОИТЕЛЬСТВО ОБЪЕКТА: 
ПР. АВИКОНСТРУКТОРОВ ОТ ВЕРХНЕ-КАМЕНСКОЙ УЛИЦЫ ДО АРЦЕУЛОВСКОЙ АЛЛЕИ",Приморский,"Санкт-Петербург, пр. Авиаконструкторов от Верхне-Каменской ул. до Арцеуловской аллеи",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - апрель 2022г.)",24994.0,-,Работы не ведутся,СМР
29,78:42:1810201:70,"РЕКОНСТРУКЦИЯ ЗДАНИЯ СДЮШОР, Г. ПУШКИН, ЛЕНИНГРАДСКАЯ УЛ., Д. 83, ЛИТЕРА А",Пушкинский,"Санкт-Петербург, город Пушкин, Ленинградская улица, дом 83, литера А",Постоянное (бессрочное) пользование №78-78-06/013/2010-949 от 09.09.2010 (СДЮШОР),24.06.2021,15.12.2022,"№ 40/ОК-21 от 24.06.2021 ООО ""ВЫСОТСПЕЦСТРОЙ""",14987.0,-,"Ведутся работы:
1. Бетонирование колонны и стены Блок Б, В, Г эт. 3, отм. +6,500
2. Монтаж прифундаментного дренажа (колодцы); все смонтировали. Обратная засыпка производится.
3. Заготовка металлоконструкций на кровлю Блок А, сборка металлических ферм, на месте варят и собирают.
4. Утепление стен подземной части. Пеноплекс в полном объёме на объекте.
5. Затаривание кирпича и газобетона для кладки внутренних стен и перегородок.
6. Кладка Внутренних стен и перегородок на отм. -3,500 Блок Б, В, Г.",СМР
